,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5,0.12811713218688964,0.0030071273999934256,0.014534664154052735,0.00031274856078302213,balanced,100,"{'class_weight': 'balanced', 'n_estimators': 100}",0.9473684210526315,0.8947368421052632,1.0,1.0,0.9,0.948421052631579,0.045931419430045105,1
1,0.13395071029663086,0.004472936115227767,0.015335559844970703,0.0008042342210737685,,100,"{'class_weight': None, 'n_estimators': 100}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.95,0.9478947368421053,0.047086882623884295,2
2,1.2884944915771483,0.023933124793046247,0.12783341407775878,0.008263483733880903,,1000,"{'class_weight': None, 'n_estimators': 1000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.95,0.9478947368421053,0.047086882623884295,2
3,13.391533136367798,0.42276535881612953,1.223365354537964,0.026899319200537064,,10000,"{'class_weight': None, 'n_estimators': 10000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.95,0.9478947368421053,0.047086882623884295,2
7,13.693319177627563,0.11934872269819977,1.2521734237670898,0.01495887686822025,balanced,10000,"{'class_weight': 'balanced', 'n_estimators': 10000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.9,0.9378947368421053,0.05074514018186926,5
11,16.678554821014405,0.7814929306727069,1.0988978385925292,0.16909399329790542,balanced_subsample,10000,"{'class_weight': 'balanced_subsample', 'n_estimators': 10000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.9,0.9378947368421053,0.05074514018186926,5
6,1.28714861869812,0.05817631480172018,0.12638344764709472,0.008228901044960837,balanced,1000,"{'class_weight': 'balanced', 'n_estimators': 1000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.85,0.9278947368421052,0.06109798678286927,7
10,1.7486005783081056,0.02751706621408236,0.14218130111694335,0.010384269435601529,balanced_subsample,1000,"{'class_weight': 'balanced_subsample', 'n_estimators': 1000}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.85,0.9278947368421052,0.06109798678286927,7
9,0.17176423072814942,0.013307704005476812,0.01537184715270996,0.0013775281426634302,balanced_subsample,100,"{'class_weight': 'balanced_subsample', 'n_estimators': 100}",0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,0.9,0.9273684210526316,0.041361858325028415,9
0,0.019799137115478517,0.0011906768647467912,0.0060709953308105465,0.0008114763790530498,,10,"{'class_weight': None, 'n_estimators': 10}",0.8947368421052632,0.8947368421052632,1.0,1.0,0.8,0.9178947368421053,0.0754377804933428,10
4,0.017411518096923827,0.000954700899722122,0.004991674423217773,0.0006214425080227603,balanced,10,"{'class_weight': 'balanced', 'n_estimators': 10}",0.9473684210526315,0.8947368421052632,0.9473684210526315,1.0,0.8,0.9178947368421053,0.06769656922447799,10
8,0.02179374694824219,0.0019756443114798848,0.005182743072509766,0.0003069924878280832,balanced_subsample,10,"{'class_weight': 'balanced_subsample', 'n_estimators': 10}",0.8421052631578947,0.8947368421052632,0.9473684210526315,1.0,0.85,0.9068421052631578,0.059815042716527884,12
